Date : 2026-05-26 09:00:31
Directory : /home/bashar/Projects/algonaid_mobile_app
Total : 329 files,  64684 codes, 813 comments, 2646 blanks, all 68143 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/constants/README.md                                                         | Markdown   |         10 |          0 |          4 |         14 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/constants/app_constants.dart                                                | Dart       |        110 |         12 |         18 |        140 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/constants/app_strings.dart                                                  | Dart       |         21 |          2 |          3 |         26 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/constants/assets_constants.dart                                             | Dart       |         19 |          4 |          4 |         27 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/constants/endpoints.dart                                                    | Dart       |         31 |          3 |          4 |         38 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/di/README.md                                                                | Markdown   |          8 |          0 |          4 |         12 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/di/service_locator.dart                                                     | Dart       |        236 |          5 |         63 |        304 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/errors/README.md                                                            | Markdown   |          9 |          0 |          4 |         13 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/errors/exceptions.dart                                                      | Dart       |         18 |          0 |          6 |         24 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/errors/failure.dart                                                         | Dart       |         13 |          0 |          4 |         17 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/network/README.md                                                           | Markdown   |         12 |          0 |          4 |         16 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/network/api_service.dart                                                    | Dart       |         47 |          0 |          8 |         55 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/network/check_internet.dart                                                 | Dart       |          5 |          0 |          2 |          7 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/network/dio_error_handler.dart                                              | Dart       |         41 |          3 |         12 |         56 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/network/execute_request.dart                                                | Dart       |         18 |          4 |          3 |         25 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/network/initial_dio.dart                                                    | Dart       |         56 |          4 |          8 |         68 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/routes/README.md                                                            | Markdown   |         10 |          0 |          4 |         14 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/routes/appRouters.dart                                                      | Dart       |        110 |         18 |         14 |        142 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/routes/authGuard.dart                                                       | Dart       |          0 |         29 |          7 |         36 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/routes/navigatorKey.dart                                                    | Dart       |          2 |          0 |          2 |          4 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/routes/paths_routes.dart                                                    | Dart       |         11 |          0 |          1 |         12 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/theme/README.md                                                             | Markdown   |         10 |          0 |          4 |         14 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/theme/animation.dart                                                        | Dart       |         91 |          1 |         10 |        102 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/theme/app_shadows.dart                                                      | Dart       |         42 |          0 |          9 |         51 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/theme/colors.dart                                                           | Dart       |         45 |          6 |         15 |         66 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/theme/styles.dart                                                           | Dart       |         82 |          2 |         22 |        106 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/theme/theme.dart                                                            | Dart       |        225 |         20 |         22 |        267 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/theme/theme_provider.dart                                                   | Dart       |         29 |          0 |          8 |         37 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/usecase/usecase.dart                                                        | Dart       |          5 |          1 |          3 |          9 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/userCases/README.md                                                         | Markdown   |          8 |          0 |          4 |         12 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/userCases/no_param_use_case.dart                                            | Dart       |          5 |          0 |          2 |          7 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/userCases/use_case.dart                                                     | Dart       |          5 |          0 |          2 |          7 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/userCases/usecase.dart                                                      | Dart       |          6 |          0 |          3 |          9 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/utils/README.md                                                             | Markdown   |         10 |          0 |          4 |         14 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/utils/cache/per_caching_for_images.dart                                     | Dart       |          0 |          0 |          2 |          2 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/utils/cache/shared_pref.dart                                                | Dart       |         40 |         21 |         16 |         77 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/utils/functions/check_user_auth_token.dart                                  | Dart       |         24 |          0 |          5 |         29 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/utils/functions/share_product.dart                                          | Dart       |          0 |         23 |          4 |         27 |
