Date : 2026-05-28 09:44:00
Directory : /home/bashar/Projects/algonaid_mobile_app/lib
Total : 273 files,  19746 codes, 582 comments, 2376 blanks, all 22704 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        256 |     19,626 |        582 |      2,324 |     22,532 |
| Markdown |         17 |        120 |          0 |         52 |        172 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /home/bashar/Projects/algonaid_mobile_app/lib/features/auth/data/models/auth_models.dart                                       | Dart     |         67 |          1 |          7 |         75 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/auth/data/repositories/auth_repo_impl.dart                              | Dart     |        103 |          1 |          7 |        111 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/auth/domain/entities/user_entity.dart                                   | Dart     |         33 |          1 |          2 |         36 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/auth/domain/repositories/auth_repo.dart                                 | Dart     |         17 |          0 |          2 |         19 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/auth/domain/usecases/logout_usecase.dart                                | Dart     |         11 |          0 |          4 |         15 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/auth/domain/usecases/signin_usecase.dart                                | Dart     |         18 |          1 |          4 |         23 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/auth/domain/usecases/signup_usecase.dart                                | Dart     |         31 |          1 |          4 |         36 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/auth/presentation/pages/signin_&_signup_pages.dart                      | Dart     |        180 |         21 |         20 |        221 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/auth/presentation/providers/auth_service_provider.dart                  | Dart     |        204 |          4 |         27 |        235 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/auth/presentation/widgets/animated_switcher.dart                        | Dart     |         15 |          1 |          3 |         19 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/auth/presentation/widgets/auth_header.dart                              | Dart     |          9 |          0 |          3 |         12 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/auth/presentation/widgets/drop_down_bottun.dart                         | Dart     |         42 |          2 |          5 |         49 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/auth/presentation/widgets/label.dart                                    | Dart     |         20 |          2 |          2 |         24 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/auth/presentation/widgets/signin_with_google.dart                       | Dart     |         33 |          2 |          4 |         39 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/auth/presentation/widgets/swap_bottons.dart                             | Dart     |         83 |          3 |          6 |         92 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/README.md                                                       | Markdown |         12 |          0 |          6 |         18 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/data/README.md                                                  | Markdown |          2 |          0 |          1 |          3 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/data/datasources/course_local_stroage.dart                      | Dart     |        114 |          0 |         13 |        127 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/data/datasources/courses_remote_data_source.dart                | Dart     |         78 |          0 |         15 |         93 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/data/models/continue_learning_model.dart                        | Dart     |         53 |         10 |          4 |         67 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/data/models/courseProgress_model.dart                           | Dart     |         49 |          2 |         11 |         62 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/data/models/course_grades_model.dart                            | Dart     |         55 |          0 |          7 |         62 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/data/models/course_model.dart                                   | Dart     |        133 |          1 |         21 |        155 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/data/models/course_model.g.dart                                 | Dart     |         69 |          4 |          8 |         81 |
